Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
NUAN,Nuance Communications Inc,Common Stock,49.63,$14.05B,Information Technology,Software,Application Software
ELAN,Elanco Animal Health Inc,Common Stock,29.75,$14.04B,Health Care,Pharmaceuticals,Pharmaceuticals
NWSA,News Corp,Common Stock,23.72,$14.01B,Communication Services,Media,Publishing
FMC,FMC Corp.,Common Stock,107.68,$13.97B,Materials,Chemicals,Fertilizers & Agricultural Chemicals
BEN,Franklin Resources Inc,Common Stock,27.62,$13.96B,Financials,Capital Markets,Asset Management & Custody Banks
ENTG,Entegris Inc,Common Stock,103.37,$13.94B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
NWS,News Corp,Common Stock,23.49,$13.88B,Communication Services,Media,Publishing
FICO,Fair Isaac Corp,Common Stock,473.78,$13.85B,Information Technology,Software,Application Software
BKI,Black Knight Inc,Common Stock,87.4,$13.72B,Information Technology,IT Services,Data Processing & Outsourced Services
CREE,Cree Inc.,Common Stock,123.08,$13.66B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
SMG,Scotts Miracle-Gro Co (The),Common Stock,245.41,$13.64B,Materials,Chemicals,Fertilizers & Agricultural Chemicals
ERIE,Erie Indemnity Co,Common Stock,260.54,$13.61B,Financials,Insurance,Property & Casualty Insurance
POOL,Pool Corp,Common Stock,337.92,$13.57B,Consumer Discretionary,Distributors,Distributors
CZR,Caesars Entertainment Inc,Common Stock,80.24,$13.54B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
IPGP,IPG Photonics Corp,Common Stock,252.89,$13.46B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
CCK,Crown Holdings Inc,Common Stock,98.96,$13.34B,Materials,Containers & Packaging,Metal & Glass Containers
PPD,PPD Inc,Common Stock,38,$13.28B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
PLTK,Playtika Holding Corp,Common Stock,33.8292,$13.22B,Communication Services,Entertainment,Interactive Home Entertainment
BAP,Credicorp Ltd,Common Stock,165.73,$13.17B,Financials,Banks,Diversified Banks
CG,Carlyle Group Inc (The),Common Stock,37.18,$13.14B,Financials,Capital Markets,Asset Management & Custody Banks
SJM,J.M. Smucker Co (The),Common Stock,115.1,$13.13B,Consumer Staples,Food Products,Packaged Foods & Meats
LB,L Brands Inc,Common Stock,47.22,$13.13B,Consumer Discretionary,Specialty Retail,Apparel Retail
L,Loews Corp,Common Stock,48.62,$13.09B,Financials,Insurance,Property & Casualty Insurance
OTEX,Open Text Corp,Common Stock,47.92,$13.02B,Information Technology,Software,Application Software
FFIV,F5 Networks Inc,Common Stock,210.62,$12.98B,Information Technology,Communications Equipment,Communications Equipment
LUMN,Lumen Technologies Inc,Common Stock,11.78,$12.93B,Communication Services,Diversified Telecommunication Services,Alternative Carriers
PHM,PulteGroup Inc,Common Stock,48.48,$12.92B,Consumer Discretionary,Household Durables,Homebuilding
UAL,United Airlines Holdings Inc,Common Stock,43.935,$12.78B,Industrials,Airlines,Airlines
QGEN,Qiagen NV,Common Stock,56.02,$12.77B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
SPCE,Virgin Galactic Holdings Inc,Common Stock,54.53,$12.76B,Industrials,Aerospace & Defense,Aerospace & Defense
MOH,Molina Healthcare Inc.,Common Stock,216.28,$12.76B,Health Care,Health Care Providers & Services,Managed Health Care
WYNN,Wynn Resorts Ltd,Common Stock,117.85,$12.71B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
BRO,Brown & Brown Inc,Common Stock,44.8,$12.68B,Financials,Insurance,Insurance Brokers
BSY,Bentley System Inc,Common Stock,48.29,$12.66B,Information Technology,Software,Application Software
PKG,Packaging Corp Of America,Common Stock,133.18,$12.63B,Materials,Containers & Packaging,Paper Packaging
NLOK,NortonLifeLock Inc,Common Stock,21.47,$12.60B,Information Technology,Software,Systems Software
HAS,Hasbro Inc.,Common Stock,91.49,$12.54B,Consumer Discretionary,Leisure Products,Leisure Products
ZNGA,Zynga Inc,Common Stock,11.6,$12.52B,Communication Services,Entertainment,Interactive Home Entertainment
FBHS,Fortune Brands Home & Security Inc,Common Stock,89.84,$12.48B,Industrials,Building Products,Building Products
AXON,Axon Enterprise Inc,Common Stock,196.48,$12.43B,Industrials,Aerospace & Defense,Aerospace & Defense
CHRW,C.H. Robinson Worldwide Inc.,Common Stock,91.3,$12.41B,Industrials,Air Freight & Logistics,Air Freight & Logistics
WHR,Whirlpool Corp,Common Stock,199.93,$12.40B,Consumer Discretionary,Household Durables,Household Appliances
CABO,Cable One Inc,Common Stock,2056.79,$12.39B,Communication Services,Media,Cable & Satellite
XPO,XPO Logistics Inc,Common Stock,121.31,$12.37B,Industrials,Air Freight & Logistics,Air Freight & Logistics
EVRG,Evergy Inc,Common Stock,54.43,$12.35B,Utilities,Electric Utilities,Electric Utilities
TREX,Trex Co Inc,Common Stock,106.28,$12.31B,Industrials,Building Products,Building Products
HWM,Howmet Aerospace Inc,Common Stock,28.28,$12.24B,Industrials,Aerospace & Defense,Aerospace & Defense
EQH,Equitable Holdings Inc,Common Stock,27.35,$12.16B,Financials,Diversified Financial Services,Other Diversified Financial Services
GGG,Graco Inc.,Common Stock,71.87,$12.11B,Industrials,Machinery,Industrial Machinery
XRAY,DENTSPLY SIRONA Inc,Common Stock,55.35,$12.09B,Health Care,Health Care Equipment & Supplies,Health Care Supplies
WRB,Berkley (W.R.) Corp,Common Stock,67.88,$12.07B,Financials,Insurance,Property & Casualty Insurance
LNT,Alliant Energy Corp,Common Stock,48.29,$12.06B,Utilities,Electric Utilities,Electric Utilities
MHK,Mohawk Industries Inc.,Common Stock,169.28,$12.05B,Consumer Discretionary,Household Durables,Home Furnishings
FDS,FactSet Research Systems Inc.,Common Stock,316,$12.01B,Financials,Capital Markets,Financial Exchanges & Data
FIVN,Five9 Inc,Common Stock,181.59,$11.97B,Information Technology,Software,Application Software
TAP-A,Molson Coors Beverage Company,Common Stock,55,$11.92B,Consumer Staples,Beverages,Brewers
RGEN,Repligen Corp,Common Stock,226.26,$11.90B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
PEGA,Pegasystems Inc,Common Stock,146.78,$11.84B,Information Technology,Software,Application Software
CLVT,Clarivate Plc,Common Stock,30.27,$11.78B,Industrials,Professional Services,Research & Consulting Services
APO,Apollo Global Management Inc,Common Stock,51.46,$11.78B,Financials,Capital Markets,Asset Management & Custody Banks
CNA,CNA Financial Corp,Common Stock,43.22,$11.73B,Financials,Insurance,Property & Casualty Insurance
ATO,Atmos Energy Corp,Common Stock,91.05,$11.67B,Utilities,Gas Utilities,Gas Utilities
PLAN,Anaplan Inc,Common Stock,82.26,$11.65B,Information Technology,Software,Application Software
WRK,WestRock Company,Common Stock,44.24,$11.65B,Materials,Containers & Packaging,Paper Packaging
CNP,CenterPoint Energy Inc.,Common Stock,21.38,$11.65B,Utilities,Multi-Utilities,Multi-Utilities
TXT,Textron Inc,Common Stock,50.89,$11.64B,Industrials,Aerospace & Defense,Aerospace & Defense
FNF,Fidelity National Financial Inc FNF Group,Common Stock,39.63,$11.64B,Financials,Insurance,Property & Casualty Insurance
MTN,Vail Resorts Inc.,Common Stock,287.37,$11.58B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Leisure Facilities
DVA,DaVita Inc,Common Stock,104.99,$11.54B,Health Care,Health Care Providers & Services,Health Care Services
SBNY,Signature Bank,Common Stock,214.03,$11.47B,Financials,Banks,Regional Banks
WTRG,Essential Utilities Inc,Common Stock,46.66,$11.44B,Utilities,Water Utilities,Water Utilities
ABCL,AbCellera Biologics Inc,Common Stock,43.04,$11.41B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
BAH,Booz Allen Hamilton Holding Corp,Common Stock,82.59,$11.39B,Information Technology,IT Services,IT Consulting & Other Services
CRSP,CRISPR Therapeutics AG,Common Stock,161.025,$11.37B,Health Care,Biotechnology,Biotechnology
OLED,Universal Display Corp,Common Stock,238.08,$11.35B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
RPM,RPM International Inc,Common Stock,86.8,$11.29B,Materials,Chemicals,Specialty Chemicals
LW,Lamb Weston Holdings Inc,Common Stock,77.16,$11.29B,Consumer Staples,Food Products,Packaged Foods & Meats
LKQ,LKQ Corp,Common Stock,36.91,$11.24B,Consumer Discretionary,Distributors,Distributors
LII,Lennox International Inc.,Common Stock,292.86,$11.21B,Industrials,Building Products,Building Products
DAR,Darling Ingredients Inc,Common Stock,69.07,$11.19B,Consumer Staples,Food Products,Agricultural Products
PCTY,Paylocity Holding Corp,Common Stock,205.97,$11.19B,Information Technology,Software,Application Software
WLK,Westlake Chemical Corp,Common Stock,87.08,$11.12B,Materials,Chemicals,Commodity Chemicals
ICLR,Icon PLC,Common Stock,210.61,$11.11B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
MOS,Mosaic Company (The),Common Stock,29.27,$11.10B,Materials,Chemicals,Fertilizers & Agricultural Chemicals
BHC,Bausch Health Cos Inc,Common Stock,31.23,$11.09B,Health Care,Pharmaceuticals,Pharmaceuticals
JKHY,Henry (Jack) & Associates Inc,Common Stock,145.64,$11.08B,Information Technology,IT Services,Data Processing & Outsourced Services
FNMA,Federal National Mortgage Association,Common Stock,1.89,$11.07B,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
BYND,Beyond Meat Inc,Common Stock,175.49,$10.99B,Consumer Staples,Food Products,Packaged Foods & Meats
UHS,Universal Health Services Inc.,Common Stock,129.28,$10.99B,Health Care,Health Care Providers & Services,Health Care Facilities
TTC,Toro Co (The),Common Stock,101.86,$10.96B,Industrials,Machinery,Agricultural & Farm Machinery
NDSN,Nordson Corp,Common Stock,188.27,$10.93B,Industrials,Machinery,Industrial Machinery
FANG,Diamondback Energy Inc,Common Stock,69.11,$10.91B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
ALLE,Allegion Plc,Common Stock,118.26,$10.91B,Industrials,Building Products,Building Products
FSLY,Fastly Inc,Common Stock,102.06,$10.91B,Information Technology,IT Services,Internet Services & Infrastructure
EXPI,eXp World Holdings Inc,Common Stock,155.66,$10.90B,Real Estate,Real Estate Management & Development,Real Estate Services
BG,Bunge Ltd,Common Stock,78,$10.89B,Consumer Staples,Food Products,Agricultural Products
PWR,Quanta Services Inc.,Common Stock,77.87,$10.81B,Industrials,Construction & Engineering,Construction & Engineering
FND,Floor & Decor Holdings Inc,Common Stock,103.89,$10.80B,Consumer Discretionary,Specialty Retail,Home Improvement Retail
GWRE,Guidewire Software Inc,Common Stock,128.69,$10.78B,Information Technology,Software,Application Software
AZPN,Aspen Technology Inc,Common Stock,158.64,$10.76B,Information Technology,Software,Application Software
FIVE,Five Below Inc,Common Stock,192.32,$10.74B,Consumer Discretionary,Specialty Retail,Specialty Stores
BFAM,Bright Horizons Family Solutions Inc,Common Stock,178.18,$10.74B,Consumer Discretionary,Diversified Consumer Services,Education Services
AAL,American Airlines Group Inc,Common Stock,17.26,$10.73B,Industrials,Airlines,Airlines
FSLR,First Solar Inc,Common Stock,100.75,$10.68B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
RUN,Sunrun Inc,Common Stock,83.69,$10.67B,Industrials,Electrical Equipment,Electrical Components & Equipment
NBIX,Neurocrine Biosciences Inc,Common Stock,114.08,$10.67B,Health Care,Biotechnology,Biotechnology
TPR,Tapestry Inc,Common Stock,38.31,$10.64B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
MORN,Morningstar Inc,Common Stock,248.79,$10.62B,Financials,Capital Markets,Financial Exchanges & Data
NTRA,Natera Inc,Common Stock,124.36,$10.61B,Health Care,Biotechnology,Biotechnology
FWONK,Formula One Group - The Liberty Media Group,Common Stock,45.47,$10.54B,Communication Services,Entertainment,Movies & Entertainment
AQN,Algonquin Power & Utilities Corp,Common Stock,17.7,$10.54B,Utilities,Multi-Utilities,Multi-Utilities
NRG,NRG Energy Inc,Common Stock,43.04,$10.51B,Utilities,Electric Utilities,Electric Utilities
KL,Kirkland Lake Gold Ltd,Common Stock,38.25,$10.47B,Materials,Metals & Mining,Gold
TECK,Teck Resources Ltd,Common Stock,19.71,$10.47B,Materials,Metals & Mining,Diversified Metals & Mining
AAP,Advance Auto Parts Inc.,Common Stock,152.81,$10.46B,Consumer Discretionary,Specialty Retail,Automotive Retail
VST,Vistra Corp,Common Stock,21.33,$10.43B,Utilities,Independent Power and Renewable Electricity Producers,Independent Power Producers & Energy Traders
IVZ,Invesco Ltd,Common Stock,22.67,$10.41B,Financials,Capital Markets,Asset Management & Custody Banks
FVRR,Fiverr International Ltd,Common Stock,323.1,$10.32B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
SMAR,Smartsheet Inc,Common Stock,84.41,$10.30B,Information Technology,Software,Application Software
SNA,Snap-On Inc,Common Stock,189.95,$10.28B,Industrials,Machinery,Industrial Machinery
NWL,Newell Brands Inc,Common Stock,24.19,$10.26B,Consumer Discretionary,Household Durables,Housewares & Specialties
DOX,Amdocs Ltd,Common Stock,77.59,$10.21B,Information Technology,IT Services,IT Consulting & Other Services
UAA,Under Armour Inc,Common Stock,22.37,$10.17B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
DBX,Dropbox Inc,Common Stock,24.51,$10.15B,Information Technology,Software,Application Software
AMED,Amedisys Inc,Common Stock,308.38,$10.13B,Health Care,Health Care Providers & Services,Health Care Services
PEN,Penumbra Inc,Common Stock,278.32,$10.10B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
FWONB,Formula One Group - The Liberty Media Group,Common Stock,43.47,$10.08B,Communication Services,Media,Cable & Satellite
LNC,Lincoln National Corp,Common Stock,52.35,$10.07B,Financials,Insurance,Life & Health Insurance
DNB,Dun & Bradstreet Corp (The),Common Stock,23.49,$9.94B,Industrials,Professional Services,Research & Consulting Services
MSTR,MicroStrategy Inc,Common Stock,1034.31,$9.92B,Information Technology,Software,Application Software
HSIC,Henry Schein Inc,Common Stock,69.46,$9.89B,Health Care,Health Care Providers & Services,Health Care Distributors
GL,Globe Life Inc,Common Stock,94.02,$9.88B,Financials,Insurance,Life & Health Insurance
WU,Western Union Co,Common Stock,23.99,$9.86B,Information Technology,IT Services,Data Processing & Outsourced Services
NHYKF,Norsk Hydro ASA,Common Stock,4.812,$9.86B,Materials,Metals & Mining,Aluminum
UHAL,Amerco,Common Stock,500.24,$9.81B,Industrials,Road & Rail,Trucking
WEX,WEX Inc,Common Stock,221.4,$9.77B,Information Technology,IT Services,Data Processing & Outsourced Services
RH,RH,Common Stock,491.9,$9.76B,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
FLEX,Flex Ltd,Common Stock,19.56,$9.75B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
AOS,A. O. Smith Corp,Common Stock,60.37,$9.75B,Industrials,Building Products,Building Products
RE,Everest Re Group Ltd,Common Stock,243.54,$9.74B,Financials,Insurance,Reinsurance
WSM,Williams-Sonoma Inc.,Common Stock,126.61,$9.71B,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
WSO-B,Watsco Inc,Common Stock,251.85,$9.69B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
CBOE,Cboe Global Markets Inc,Common Stock,89.39,$9.68B,Financials,Capital Markets,Financial Exchanges & Data
IPG,Interpublic Group of Cos Inc (The),Common Stock,24.63,$9.60B,Communication Services,Media,Advertising
DLB,Dolby Laboratories Inc,Common Stock,94.44,$9.59B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
LEA,Lear Corp,Common Stock,159.67,$9.59B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
QDEL,Quidel Corp,Common Stock,227.85,$9.58B,Health Care,Health Care Equipment & Supplies,Health Care Supplies
WSO,Watsco Inc,Common Stock,248.16,$9.55B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
TAP,Molson Coors Beverage Company,Common Stock,44.01,$9.54B,Consumer Staples,Beverages,Brewers
FWONA,Formula One Group - The Liberty Media Group,Common Stock,40.98,$9.52B,Communication Services,Entertainment,Movies & Entertainment
EWBC,East West Bancorp Inc,Common Stock,67.18,$9.51B,Financials,Banks,Regional Banks
CF,CF Industries Holdings Inc,Common Stock,44.36,$9.49B,Materials,Chemicals,Fertilizers & Agricultural Chemicals
SCI,Service Corp International,Common Stock,54.12,$9.43B,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
VTRS,Viatris Inc,Common Stock,18.23,$9.43B,Health Care,Pharmaceuticals,Pharmaceuticals
GFL,GFL Environmental Inc,Common Stock,28.81,$9.40B,Industrials,Commercial Services & Supplies,Environmental & Facilities Services
IIVI,II VI Inc,Common Stock,89.92,$9.40B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
MRTX,Mirati Therapeutics Inc,Common Stock,209.66,$9.39B,Health Care,Biotechnology,Biotechnology
ATR,AptarGroup Inc.,Common Stock,144.63,$9.36B,Materials,Containers & Packaging,Metal & Glass Containers
AFG,American Financial Group Inc,Common Stock,108.04,$9.33B,Financials,Insurance,Multi-line Insurance
BLDP,Ballard Power Systems Inc,Common Stock,36,$9.31B,Industrials,Electrical Equipment,Electrical Components & Equipment
JAZZ,Jazz Pharmaceuticals Plc,Common Stock,167.52,$9.31B,Health Care,Pharmaceuticals,Pharmaceuticals
BRKR,Bruker Corp,Common Stock,60.75,$9.31B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
ZI,ZoomInfo Technologies Inc,Common Stock,57.84,$9.30B,Communication Services,Interactive Media & Services,Interactive Media & Services
KGC,Kinross Gold Corp,Common Stock,7.38,$9.29B,Materials,Metals & Mining,Gold
LMND,Lemonade Inc,Common Stock,163.93,$9.28B,Financials,Insurance,Property & Casualty Insurance
OC,Owens Corning,Common Stock,85.75,$9.26B,Industrials,Building Products,Building Products
MKSI,MKS Instruments Inc,Common Stock,167.62,$9.23B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductor Equipment
NFE,New Fortress Energy Inc,Common Stock,54.59,$9.21B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
ST,Sensata Technologies Holding Plc,Common Stock,58.4,$9.18B,Industrials,Electrical Equipment,Electrical Components & Equipment
RARE,Ultragenyx Pharmaceutical Inc,Common Stock,150.54,$9.14B,Health Care,Biotechnology,Biotechnology
ARMK,Aramark,Common Stock,36,$9.11B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
IPHI,Inphi Corp,Common Stock,174.87,$9.10B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
DECK,Deckers Outdoor Corp,Common Stock,323.32,$9.10B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods",Footwear
ARWR,Arrowhead Pharmaceuticals Inc,Common Stock,88.22,$9.10B,Health Care,Biotechnology,Biotechnology
ADPT,Adaptive Biotechnologies Corp,Common Stock,66.515,$9.07B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
SJR,Shaw Communications Inc.,Common Stock,17.78,$9.07B,Communication Services,Media,Cable & Satellite
RDFN,Redfin Corp,Common Stock,90.065,$9.03B,Real Estate,Real Estate Management & Development,Real Estate Services
HUBB,Hubbell Inc,Common Stock,165.21,$8.96B,Industrials,Electrical Equipment,Electrical Components & Equipment
PNR,Pentair plc,Common Stock,53.63,$8.92B,Industrials,Machinery,Industrial Machinery
FATE,Fate Therapeutics Inc,Common Stock,102.42,$8.91B,Health Care,Biotechnology,Biotechnology
SFIX,Stitch Fix Inc,Common Stock,85.06,$8.91B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
MRVI,Maravai LifeSciences Holdings Inc,Common Stock,34.47,$8.89B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
AGCO,AGCO Corp,Common Stock,118.6,$8.88B,Industrials,Machinery,Agricultural & Farm Machinery
RP,RealPage Inc,Common Stock,86.89,$8.87B,Information Technology,Software,Application Software
MANH,Manhattan Associates Inc,Common Stock,139.6,$8.87B,Information Technology,Software,Application Software
VIR,Vir Biotechnology Inc,Common Stock,69.71,$8.85B,Health Care,Biotechnology,Biotechnology
MCFE,McAfee Corp,Common Stock,20.58,$8.85B,Information Technology,Software,Systems Software
GNTX,Gentex Corporation,Common Stock,35.68,$8.74B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
CIEN,Ciena Corp,Common Stock,56.22,$8.69B,Information Technology,Communications Equipment,Communications Equipment
TPL,Texas Pacific Land Corp,Common Stock,1119.78,$8.69B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
LSPD,Lightspeed POS Inc,Common Stock,73.02,$8.68B,Information Technology,Software,Application Software
FHN,First Horizon Corp,Common Stock,15.63,$8.67B,Financials,Banks,Regional Banks
CMA,Comerica Inc,Common Stock,62.31,$8.67B,Financials,Banks,Regional Banks
ATH,Athene Holding Ltd,Common Stock,45.17,$8.65B,Financials,Insurance,Life & Health Insurance
Y,Alleghany Corp,Common Stock,609.08,$8.64B,Financials,Insurance,Reinsurance
GPS,Gap Inc,Common Stock,23.09,$8.64B,Consumer Discretionary,Specialty Retail,Apparel Retail
NI,NiSource Inc,Common Stock,22.53,$8.63B,Utilities,Multi-Utilities,Multi-Utilities
CBSH,Commerce Bancshares Inc,Common Stock,73.4,$8.60B,Financials,Banks,Regional Banks
CHDN,Churchill Downs Inc,Common Stock,217.02,$8.59B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
PNW,Pinnacle West Capital Corp,Common Stock,76.19,$8.58B,Utilities,Electric Utilities,Electric Utilities
UA,Under Armour Inc,Common Stock,18.84,$8.57B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
NLSN,Nielsen Holdings plc,Common Stock,23.78,$8.49B,Industrials,Professional Services,Research & Consulting Services
SPWR,SunPower Corp,Common Stock,49.78,$8.47B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
RHI,Robert Half International Inc.,Common Stock,73.78,$8.42B,Industrials,Professional Services,Human Resource & Employment Services
CLR,Continental Resources Inc,Common Stock,23.02,$8.40B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
SYNH,Syneos Health Inc,Common Stock,80.74,$8.40B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
NKLA,Nikola Corp,Common Stock,21.83,$8.38B,Industrials,Machinery,Construction Machinery & Heavy Trucks
IAA,IAA Inc,Common Stock,62.36,$8.38B,Industrials,Commercial Services & Supplies,Diversified Support Services
ACM,AECOM,Common Stock,56.02,$8.32B,Industrials,Construction & Engineering,Construction & Engineering
LEVI,Levi Strauss & Co,Common Stock,20.91,$8.32B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
PRAH,PRA Health Sciences Inc,Common Stock,129.51,$8.30B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
CVE,Cenovus Energy Inc,Common Stock,6.75,$8.29B,Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
GLOB,Globant SA,Common Stock,224.1,$8.28B,Information Technology,IT Services,IT Consulting & Other Services
JNPR,Juniper Networks Inc,Common Stock,25.25,$8.28B,Information Technology,Communications Equipment,Communications Equipment
STLD,Steel Dynamics Inc,Common Stock,39.33,$8.27B,Materials,Metals & Mining,Steel
BBIO,BridgeBio Pharma Inc,Common Stock,67.39,$8.25B,Health Care,Biotechnology,Biotechnology
ALV,Autoliv Inc,Common Stock,94.27,$8.24B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
SEIC,SEI Investments Co,Common Stock,57.44,$8.24B,Financials,Capital Markets,Asset Management & Custody Banks
EV,Eaton Vance Corp.,Common Stock,71.48,$8.20B,Financials,Capital Markets,Asset Management & Custody Banks
EHC,Encompass Health Corp,Common Stock,82.36,$8.19B,Health Care,Health Care Providers & Services,Health Care Facilities
NYT,New York Times Co (The),Common Stock,48.91,$8.17B,Communication Services,Media,Publishing
TWST,Twist Bioscience Corp,Common Stock,168.08,$8.16B,Health Care,Biotechnology,Biotechnology
USFD,US Foods Holding Corp,Common Stock,36.89,$8.15B,Consumer Staples,Food & Staples Retailing,Food Distributors
ZION,Zions Bancorporation NA,Common Stock,49.58,$8.14B,Financials,Banks,Regional Banks
UGI,UGI Corp,Common Stock,38.88,$8.11B,Utilities,Gas Utilities,Gas Utilities
RL,Ralph Lauren Corp,Common Stock,110.7,$8.09B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
RNR,RenaissanceRe Holdings Ltd,Common Stock,159.22,$8.09B,Financials,Insurance,Reinsurance
DNLI,Denali Therapeutics Inc,Common Stock,67.56,$8.09B,Health Care,Biotechnology,Biotechnology
CHE,Chemed Corp,Common Stock,509.05,$8.08B,Health Care,Health Care Providers & Services,Health Care Services
IONS,Ionis Pharmaceuticals Inc,Common Stock,57,$8.03B,Health Care,Biotechnology,Biotechnology
CSL,Carlisle Cos Inc,Common Stock,150.97,$8.03B,Industrials,Industrial Conglomerates,Industrial Conglomerates
JLL,Jones Lang LaSalle Inc,Common Stock,155.72,$8.03B,Real Estate,Real Estate Management & Development,Real Estate Services
RS,Reliance Steel & Aluminum Co,Common Stock,125.59,$8.01B,Materials,Metals & Mining,Steel
ACAD,Acadia Pharmaceuticals Inc,Common Stock,50.175,$7.96B,Health Care,Biotechnology,Biotechnology
G,Genpact Ltd,Common Stock,42.08,$7.96B,Information Technology,IT Services,Data Processing & Outsourced Services
KSS,Kohl's Corp,Common Stock,50.08,$7.91B,Consumer Discretionary,Multiline Retail,Department Stores
BERY,Berry Global Group Inc,Common Stock,59.07,$7.91B,Materials,Containers & Packaging,Metal & Glass Containers
WAL,Western Alliance Bancorporation,Common Stock,78.2,$7.88B,Financials,Banks,Regional Banks
DCI,Donaldson Co Inc.,Common Stock,62.31,$7.87B,Industrials,Machinery,Industrial Machinery
AYX,Alteryx Inc,Common Stock,118.23,$7.87B,Information Technology,Software,Application Software
ARW,Arrow Electronics Inc,Common Stock,105.08,$7.86B,Information Technology,"Electronic Equipment, Instruments & Components",Technology Distributors
PSTG,Pure Storage Inc,Common Stock,28.9,$7.86B,Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
XLRN,Acceleron Pharma Inc,Common Stock,131.09,$7.86B,Health Care,Biotechnology,Biotechnology
QTWO,Q2 Holdings Inc,Common Stock,145.74,$7.85B,Information Technology,Software,Application Software
SC,Santander Consumer USA Holdings Inc,Common Stock,25.61,$7.84B,Financials,Consumer Finance,Consumer Finance
EEFT,Euronet Worldwide Inc,Common Stock,148.92,$7.79B,Information Technology,IT Services,Data Processing & Outsourced Services
ONEM,1Life Healthcare Inc,Common Stock,58.7,$7.78B,Health Care,Health Care Providers & Services,Health Care Services
ANGI,Angi Homeservices Inc,Common Stock,15.49,$7.75B,Communication Services,Interactive Media & Services,Interactive Media & Services
H,Hyatt Hotels Corp,Common Stock,76.39,$7.73B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
CASY,Casey's General Stores Inc.,Common Stock,209.21,$7.73B,Consumer Staples,Food & Staples Retailing,Food Retail
FCEL,FuelCell Energy Inc,Common Stock,26.22,$7.72B,Industrials,Electrical Equipment,Electrical Components & Equipment
SHC,Sotera Health Co,Common Stock,27.85,$7.72B,Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
PFPT,Proofpoint Inc,Common Stock,134.93,$7.72B,Information Technology,Software,Systems Software
