Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
IDXX,IDEXX Laboratories Inc,Common Stock,544.07,$46.41B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
Z,Zillow Group Inc,Common Stock,197.81,$45.96B,Communication Services,Interactive Media & Services,Interactive Media & Services
F,Ford Motor Co,Common Stock,11.45,$45.56B,Consumer Discretionary,Automobiles,Automobile Manufacturers
PTON,Peloton Interactive Inc,Common Stock,154.68,$45.52B,Consumer Discretionary,Leisure Products,Leisure Products
FCX,Freeport-McMoRan Inc,Common Stock,31.23,$45.38B,Materials,Metals & Mining,Copper
KMB,Kimberly-Clark Corp,Common Stock,132.13,$44.76B,Consumer Staples,Household Products,Household Products
MTCH,Match Group Inc,Common Stock,169.53,$44.72B,Communication Services,Interactive Media & Services,Interactive Media & Services
KDP,Keurig Dr Pepper Inc,Common Stock,31.77,$44.71B,Consumer Staples,Beverages,Soft Drinks
LULU,lululemon athletica inc,Common Stock,342.86,$44.69B,Consumer Discretionary,"Textiles, Apparel & Luxury Goods","Apparel, Accessories & Luxury Goods"
SNPS,Synopsys Inc,Common Stock,292.12,$44.58B,Information Technology,Software,Application Software
WBA,Walgreens Boots Alliance Inc,Common Stock,50.38,$43.52B,Consumer Staples,Food & Staples Retailing,Drug Retail
KHC,The Kraft Heinz Co,Common Stock,35.37,$43.28B,Consumer Staples,Food Products,Packaged Foods & Meats
DOW,Dow Inc,Common Stock,58.15,$43.22B,Materials,Chemicals,Commodity Chemicals
EBAY,eBay Inc.,Common Stock,62.98,$43.10B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
TEL,TE Connectivity Ltd,Common Stock,129.77,$42.97B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
MCHP,Microchip Technology Inc,Common Stock,159.55,$42.96B,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
LVS,Las Vegas Sands Corp,Common Stock,56.02,$42.79B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
CMG,Chipotle Mexican Grill Inc,Common Stock,1527.7,$42.78B,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
EA,Electronic Arts Inc,Common Stock,147.75,$42.61B,Communication Services,Entertainment,Interactive Home Entertainment
ROST,Ross Stores Inc,Common Stock,119.09,$42.45B,Consumer Discretionary,Specialty Retail,Apparel Retail
BIIB,Biogen Inc,Common Stock,278.29,$42.37B,Health Care,Biotechnology,Biotechnology
APTV,Aptiv Plc,Common Stock,156.29,$42.20B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
MAR,Marriott International Inc,Common Stock,129.48,$41.99B,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
TRP,TC Energy Corp,Common Stock,44.53,$41.86B,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
ROP,Roper Technologies Inc,Common Stock,396.02,$41.53B,Industrials,Industrial Conglomerates,Industrial Conglomerates
CTSH,Cognizant Technology Solutions Corp,Common Stock,76.96,$41.48B,Information Technology,IT Services,IT Consulting & Other Services
EXC,Exelon Corp,Common Stock,42.21,$41.18B,Utilities,Electric Utilities,Electric Utilities
TRI,Thomson Reuters Corp,Common Stock,82.78,$41.14B,Industrials,Professional Services,Research & Consulting Services
APH,Amphenol Corp,Common Stock,135.9,$40.67B,Information Technology,"Electronic Equipment, Instruments & Components",Electronic Components
CDNS,Cadence Design Systems Inc,Common Stock,145.62,$40.63B,Information Technology,Software,Application Software
TTD,Trade Desk Inc (The),Common Stock,864.04,$40.56B,Information Technology,Software,Application Software
BAX,Baxter International Inc,Common Stock,78.73,$40.21B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
CM,Canadian Imperial Bank of Commerce,Common Stock,89.32,$39.91B,Financials,Banks,Diversified Banks
RNG,RingCentral Inc,Common Stock,443.29,$39.71B,Information Technology,Software,Application Software
DXCM,DexCom Inc,Common Stock,412.9,$39.65B,Health Care,Health Care Equipment & Supplies,Health Care Equipment
BCE,BCE Inc.,Common Stock,43.67,$39.50B,Communication Services,Diversified Telecommunication Services,Integrated Telecommunication Services
