Symbol,Company Name,Security Type,Security Price,Market Capitalization,Sector,Industry,Sub-Industry
HLNE,Hamilton Lane Inc,Common Stock,89.14,$3.11B,Financials,Capital Markets,Asset Management & Custody Banks
NOAH,Noah Holdings Ltd,Depository Receipt,50.39,$3.11B,Financials,Capital Markets,Asset Management & Custody Banks
KMT,Kennametal Inc.,Common Stock,37.27,$3.11B,Industrials,Machinery,Industrial Machinery
DORM,Dorman Products Inc,Common Stock,95.81,$3.10B,Consumer Discretionary,Auto Components,Auto Parts & Equipment
NSP,Insperity Inc.,Common Stock,80.89,$3.10B,Industrials,Professional Services,Human Resource & Employment Services
MCY,Mercury General Corp,Common Stock,55.97,$3.10B,Financials,Insurance,Property & Casualty Insurance
NG,NovaGold Resources Inc,Common Stock,9.37,$3.10B,Materials,Metals & Mining,Gold
MATX,Matson Inc,Common Stock,71.8,$3.09B,Industrials,Marine,Marine
ROCK,Gibraltar Industries Inc,Common Stock,95.02,$3.09B,Industrials,Building Products,Building Products
AIT,Applied Industrial Technologies Inc,Common Stock,79.47,$3.09B,Industrials,Trading Companies & Distributors,Trading Companies & Distributors
COLB,Columbia Banking System Inc,Common Stock,43.08,$3.09B,Financials,Banks,Regional Banks
COMM,CommScope Holding Co Inc,Common Stock,15.6,$3.07B,Information Technology,Communications Equipment,Communications Equipment
WD,Walker & Dunlop Inc,Common Stock,100.36,$3.07B,Financials,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance
MAXR,Maxar Technologies Inc,Common Stock,50.27,$3.07B,Industrials,Aerospace & Defense,Aerospace & Defense
MMYT,MakeMyTrip Ltd,Common Stock,29.73,$3.06B,Consumer Discretionary,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail
VEON,VEON Ltd,Depository Receipt,1.755,$3.06B,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
KFY,Korn Ferry,Common Stock,56.52,$3.06B,Industrials,Professional Services,Human Resource & Employment Services
CSOD,Cornerstone OnDemand Inc,Common Stock,47.43,$3.06B,Information Technology,Software,Application Software
